"Friedrich Miescher Institute, Basel, Switzerland","Bonhoeffer, Sebastian","unibas","10.1086/315201","https://doi.org/10.1086/315201","http://doc.rero.ch/record/296689/files/181-1-165.pdf","High Frequency of Cytomegalovirus-Specific Cytotoxic T-Effector Cells in HLA-A*0201-Positive Subjects during Multiple Viral Coinfections","","Jin, Xia;Demoitie, Marie-Ange;Donahoe, Sean M.;Ogg, Graham S.;Bonhoeffer, Sebastian;Kakimoto, William M.;Gillespie, Geraldine;Moss, Paul A.;Dyer, Wayne;Kurilla, Michael G.;Riddell, Stanley R.;Downie, Jean;Sullivan, John S.;Mcmichael, Andrew J.;Workman, Cassy;Nixon, Douglas F.","2000","The Journal of Infectious Diseases","Aaron Diamond AIDS Research Center, The Rockefeller University, New York, New York;Aaron Diamond AIDS Research Center, The Rockefeller University, New York, New York;Aaron Diamond AIDS Research Center, The Rockefeller University, New York, New York;Human Immunology Unit, Institute of Molecular Medicine, Oxford, United Kingdom;Friedrich Miescher Institute, Basel, Switzerland;Aaron Diamond AIDS Research Center, The Rockefeller University, New York, New York;Human Immunology Unit, Institute of Molecular Medicine, Oxford, United Kingdom;Human Immunology Unit, Institute of Molecular Medicine, Oxford, United Kingdom;Australia Red Cross Blood Service, New South Wales, Australia;Department of Pathology, University of Virginia, Charlottesville;Fred Hutchinson Cancer Research Center, Seattle, Washington;Aaron Diamond AIDS Research Center, The Rockefeller University, New York, New York, Oxford, Basel, New South Wales, Charlottesville, Seattle, Washington, United Kingdom, Switzerland, Australia;Australia Red Cross Blood Service, New South Wales, Australia;Human Immunology Unit, Institute of Molecular Medicine, Oxford, United Kingdom;Aaron Diamond AIDS Research Center, The Rockefeller University, New York, New York, Oxford, Basel, New South Wales, Charlottesville, Seattle, Washington, United Kingdom, Switzerland, Australia;Aaron Diamond AIDS Research Center, The Rockefeller University, New York, New York E-mail: dnixon@adarc.org","The University of Chicago Press","","181","1","165","175","0022-1899","1537-6613","copyright","© 2000 by the Infectious Diseases Society of America","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101086315201","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101086315201&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101086315201&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101086315201&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Friedrich Miescher Institute, Basel, Switzerland",
"Friedrich Miescher-Institut, P.O. Box 2543, CH-4002 Basel, Switzerland","Doucey, Marie-Agnès","unibas","10.1093/glycob/9.5.435","https://doi.org/10.1093/glycob/9.5.435","http://doc.rero.ch/record/304956/files/9-5-435.pdf","Recombinant human interleukin-12 is the second example of a C-mannosylated protein","","Doucey, Marie-Agnès;Hess, Daniel;Blommers, Marcel J.J.;Hofsteenge, Jan","1999","Glycobiology","Friedrich Miescher-Institut, P.O. Box 2543, CH-4002 Basel, Switzerland;Friedrich Miescher-Institut, P.O. Box 2543, CH-4002 Basel, Switzerland;Novartis Pharma AG, P.O. Box, CH-4002 Basel, Switzerland;Friedrich Miescher-Institut, P.O. Box 2543, CH-4002 Basel, Switzerland","Oxford University Press","","9","5","435","441","0959-6658","1460-2423","copyright","© 1999 Oxford University Press","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093glycob95435","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093glycob95435&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093glycob95435&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093glycob95435&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Friedrich Miescher-Institut, P.O. Box 2543, CH-4002 Basel, Switzerland",
"Friedrich Miescher Institut, Maulbeerstrasse 66, CH-4058 Basel, Switzerland","Caroni, Pico","unibas","10.1093/cercor/bhn118","https://doi.org/10.1093/cercor/bhn118","http://doc.rero.ch/record/291464/files/bhn118.pdf","Dendritic Spine Morphology Determines Membrane-Associated Protein Exchange between Dendritic Shafts and Spine Heads","","Hugel, Sylvain;Abegg, Mathias;De Paola, Vincenzo;Caroni, Pico;Gähwiler, Beat H.;Mckinney, R. Anne","2008","Cerebral Cortex","Brain Research Institute, Winterthurerstrasse 190, CH-8057 Zurich, Switzerland Pharmacology and Therapeutics, 3655 Promenade Sir-William-Osler, Montréal, Quebec H3G 1Y6, Canada E-mail: hugel@neurochem.u-strasbg.fr;Brain Research Institute, Winterthurerstrasse 190, CH-8057 Zurich, Switzerland;Cold Spring Harbor Laboratory, HHM1, New York, NY 11724, USA;Friedrich Miescher Institut, Maulbeerstrasse 66, CH-4058 Basel, Switzerland;Brain Research Institute, Winterthurerstrasse 190, CH-8057 Zurich, Switzerland;Brain Research Institute, Winterthurerstrasse 190, CH-8057 Zurich, Switzerland Pharmacology and Therapeutics, 3655 Promenade Sir-William-Osler, Montréal, Quebec H3G 1Y6, Canada","Oxford University Press","","19","3","697","702","1047-3211","1460-2199","copyright","© The Author 2008. Published by Oxford University Press. All rights reserved. For permissions, please e-mail: journals.permissions@oxfordjournals.org","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093cercorbhn118","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093cercorbhn118&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093cercorbhn118&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093cercorbhn118&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Friedrich Miescher Institut, Maulbeerstrasse 66, CH-4058 Basel, Switzerland",
"Friedrich Miescher Institute CH-4002 Basel, Switzerland","Andjelkovic, Mirjana","unibas","10.1093/oxfordjournals.jbchem.a022559","https://doi.org/10.1093/oxfordjournals.jbchem.a022559","http://doc.rero.ch/record/298902/files/126-6-1136.pdf","Activation of Protein Kinase B Induced by H2O2 and Heat Shock through Distinct Mechanisms Dependent and Independent of Phosphatidylinositol 3-Kinase","","Konishi, Hiroaki;Fujiyoshi, Toshihide;Fukui, Yasuhisa;Matsuzaki, Hidenori;Yamamoto, Toshiyoshi;Ono, Yoshitaka;Andjelkovic, Mirjana;Hemmings, Brian A.;Kikkawa, Ushio","1999","The Journal of Biochemistry","Biosignal Research Center, Kobe University Nada-ku, Hyogo, Kobe 657-8501;Department of Applied Biological Chemistry, Graduate School of Agriculture and Life Science, The University of Tokyo Bunkyo-ku, Tokyo 113-8657;Department of Applied Biological Chemistry, Graduate School of Agriculture and Life Science, The University of Tokyo Bunkyo-ku, Tokyo 113-8657;Biosignal Research Center, Kobe University Nada-ku, Hyogo, Kobe 657-8501 Department of Applied Biological Chemistry, Graduate School of Agriculture and Life Science, The University of Tokyo Bunkyo-ku, Tokyo 113-8657;Biosignal Research Center, Kobe University Nada-ku, Hyogo, Kobe 657-8501;Department of Biology, Faculty of Science, Kobe University Nada-ku, Hyogo, Kobe 657-8501;Friedrich Miescher Institute CH-4002 Basel, Switzerland;Friedrich Miescher Institute CH-4002 Basel, Switzerland;Biosignal Research Center, Kobe University Nada-ku, Hyogo, Kobe 657-8501 E-mail: ukikkawa@kobe-u.ac.jp","Oxford University Press","","126","6","1136","1143","0021-924X","-","copyright","© 1999 by The Japanese Biochemical Society","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093oxfordjournalsjbchema022559","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oxfordjournalsjbchema022559&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oxfordjournalsjbchema022559&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oxfordjournalsjbchema022559&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Friedrich Miescher Institute CH-4002 Basel, Switzerland",
"Friedrich Miescher Institute for Biomedical Research, Basel, Switzerland (GX, BAH) E-mail: gongda.xue@fmi.ch","Xue, Gongda","unibas","10.1093/jnci/djs648","https://doi.org/10.1093/jnci/djs648","http://doc.rero.ch/record/292074/files/djs648.pdf","PKB/Akt–Dependent Regulation of Cell Motility","","Xue, Gongda;Hemmings, Brian A.","2013","Journal Of The National Cancer Institute","Friedrich Miescher Institute for Biomedical Research, Basel, Switzerland (GX, BAH) E-mail: gongda.xue@fmi.ch;Friedrich Miescher Institute for Biomedical Research, Basel, Switzerland (GX, BAH) E-mail: gongda.xue@fmi.ch","Oxford University Press","","105","6","393","404","0027-8874","1460-2105","copyright","© The Author 2013. Published by Oxford University Press. All rights reserved. For Permissions, please e-mail: journals.permissions@oup.com.","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093jncidjs648","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093jncidjs648&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093jncidjs648&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093jncidjs648&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Friedrich Miescher Institute for Biomedical Research, Basel, Switzerland (GX, BAH) E-mail: gongda.xue@fmi.ch",
"Department of Mechanisms of Cancer, Friedrich Miescher Institute for Biomedical Research, 4058 Basel, 4031 Basel, 24100 Bergamo, 50134 Florence, Switzerland, Switzerland, Italy, Italy E-mail: gongda.xue@unibas.ch","Xue, Gongda","unibas","10.1093/jnci/djv171","https://doi.org/10.1093/jnci/djv171","http://doc.rero.ch/record/301999/files/djv171.pdf","Integrated Akt/PKB Signaling in Immunomodulation and Its Potential Role in Cancer Immunotherapy","","Xue, Gongda;Zippelius, Alfred;Wicki, Andreas;Mandalà, Mario;Tang, Fengyuan;Massi, Daniela;Hemmings, Brian A.","2015","Journal Of The National Cancer Institute","Department of Mechanisms of Cancer, Friedrich Miescher Institute for Biomedical Research, 4058 Basel, 4031 Basel, 24100 Bergamo, 50134 Florence, Switzerland, Switzerland, Italy, Italy E-mail: gongda.xue@unibas.ch;Department of Mechanisms of Cancer, Friedrich Miescher Institute for Biomedical Research, 4058 Basel, 4031 Basel, 24100 Bergamo, 50134 Florence, Switzerland, Switzerland, Italy, Italy * Authors contributed equally to this work.;Department of Mechanisms of Cancer, Friedrich Miescher Institute for Biomedical Research, 4058 Basel, 4031 Basel, 24100 Bergamo, 50134 Florence, Switzerland, Switzerland, Italy, Italy * Authors contributed equally to this work.;Department of Mechanisms of Cancer, Friedrich Miescher Institute for Biomedical Research, 4058 Basel, 4031 Basel, 24100 Bergamo, 50134 Florence, Switzerland, Switzerland, Italy, Italy;Department of Mechanisms of Cancer, Friedrich Miescher Institute for Biomedical Research, 4058 Basel, 4031 Basel, 24100 Bergamo, 50134 Florence, Switzerland, Switzerland, Italy, Italy;Department of Mechanisms of Cancer, Friedrich Miescher Institute for Biomedical Research, 4058 Basel, 4031 Basel, 24100 Bergamo, 50134 Florence, Switzerland, Switzerland, Italy, Italy;Department of Mechanisms of Cancer, Friedrich Miescher Institute for Biomedical Research, 4058 Basel, 4031 Basel, 24100 Bergamo, 50134 Florence, Switzerland, Switzerland, Italy, Italy","Oxford University Press","2018-06-12 00:00:00","107","7","","","0027-8874","1460-2105","copyright","© The Author 2015. Published by Oxford University Press. All rights reserved. For Permissions, please e-mail: journals.permissions@oup.com.","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093jncidjv171","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093jncidjv171&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093jncidjv171&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093jncidjv171&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Department of Mechanisms of Cancer, Friedrich Miescher Institute for Biomedical Research, 4058 Basel, 4031 Basel, 24100 Bergamo, 50134 Florence, Switzerland, Switzerland, Italy, Italy E-mail: gongda.xue@unibas.ch",
"Friedrich Miescher Institute, PO Box 2543, CH-4002 Basel, Switzerland","Schmidt-Puchta, Waltraud","unibas","10.1093/nar/25.14.2854","https://doi.org/10.1093/nar/25.14.2854","http://doc.rero.ch/record/304445/files/25-14-2854.pdf","Plant ribosome shunting in vitro","","Schmidt-Puchta, Waltraud;Dominguez, Diana;Lewetag, Diana;Hohn, Thomas","1997","Nucleic Acids Research","Friedrich Miescher Institute, PO Box 2543, CH-4002 Basel, Switzerland;Friedrich Miescher Institute, PO Box 2543, CH-4002 Basel, Switzerland;Friedrich Miescher Institute, PO Box 2543, CH-4002 Basel, Switzerland;Friedrich Miescher Institute, PO Box 2543, CH-4002 Basel, Switzerland E-mail: hohn@fmi.ch","Oxford University Press","","25","14","2854","2860","0305-1048","1362-4962","copyright","© 1997 Oxford University Press","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093nar25142854","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093nar25142854&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093nar25142854&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093nar25142854&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Friedrich Miescher Institute, PO Box 2543, CH-4002 Basel, Switzerland",
"Friedrich Miescher Institute for Biomedical Research (FMI), Maulbeerstrasse 66, WRO-1066.1.38, CH-4002 Basel, Switzerland and Howard Hughes Medical Institute, Department of Biology, Massachusetts Institute of Technology, Cambridge, MA, USA","Hurschler, Benjamin A.","unibas","10.1093/nar/gkr145","https://doi.org/10.1093/nar/gkr145","http://doc.rero.ch/record/296468/files/gkr145.pdf","The type II poly(A)-binding protein PABP-2 genetically interacts with the let-7 miRNA and elicits heterochronic phenotypes in Caenorhabditis elegans","","Hurschler, Benjamin A.;Harris, David T.;Großhans, Helge","2011","Nucleic Acids Research","Friedrich Miescher Institute for Biomedical Research (FMI), Maulbeerstrasse 66, WRO-1066.1.38, CH-4002 Basel, Switzerland and Howard Hughes Medical Institute, Department of Biology, Massachusetts Institute of Technology, Cambridge, MA, USA;Friedrich Miescher Institute for Biomedical Research (FMI), Maulbeerstrasse 66, WRO-1066.1.38, CH-4002 Basel, Switzerland and Howard Hughes Medical Institute, Department of Biology, Massachusetts Institute of Technology, Cambridge, MA, USA;Friedrich Miescher Institute for Biomedical Research (FMI), Maulbeerstrasse 66, WRO-1066.1.38, CH-4002 Basel, Switzerland and Howard Hughes Medical Institute, Department of Biology, Massachusetts Institute of Technology, Cambridge, MA, USA E-mail: helge.grosshans@fmi.ch","Oxford University Press","","39","13","5647","5657","0305-1048","1362-4962","creative-commons","This is an Open Access article distributed under the terms of the Creative Commons Attribution Non-Commercial License (http://creativecommons.org/licenses/by-nc/2.5), which permits unrestricted non-commercial use, distribution, and reproduction in any medium, provided the original work is properly cited.","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093nargkr145","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093nargkr145&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093nargkr145&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093nargkr145&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Friedrich Miescher Institute for Biomedical Research (FMI), Maulbeerstrasse 66, WRO-1066.1.38, CH-4002 Basel, Switzerland and Howard Hughes Medical Institute, Department of Biology, Massachusetts Institute of Technology, Cambridge, MA, USA",
"Friedrich-Miescher Institut, PO Box 2543, CH-4002 Basel, Switzerland","Schwarz, Steffen","unibas","10.1093/nar/25.24.5052","https://doi.org/10.1093/nar/25.24.5052","http://doc.rero.ch/record/304568/files/25-24-5052.pdf","The Methylated DNA Binding Protein-2-H1 (MDBP-2-H1) Consists of Histone H1 Subtypes Which are Truncated at the C-Terminus","","Schwarz, Steffen;Hess, Daniel;Jost, Jean-Pierre","1997","Nucleic Acids Research","Friedrich-Miescher Institut, PO Box 2543, CH-4002 Basel, Switzerland;Friedrich-Miescher Institut, PO Box 2543, CH-4002 Basel, Switzerland;Friedrich-Miescher Institut, PO Box 2543, CH-4002 Basel, Switzerland E-mail: jost@fmi.ch","Oxford University Press","","25","24","5052","5056","0305-1048","1362-4962","copyright","© 1997 Oxford University Press","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093nar25245052","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093nar25245052&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093nar25245052&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093nar25245052&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Friedrich-Miescher Institut, PO Box 2543, CH-4002 Basel, Switzerland",
"Friedrich Miescher Institute, Maulbeerstrasse 66, 4058 Basel, Switzerland","Schubart, Daniel B.","unibas","10.1093/intimm/12.9.1275","https://doi.org/10.1093/intimm/12.9.1275","http://doc.rero.ch/record/290508/files/0121275.pdf","Correlation of anti-viral B cell responses and splenic morphology with expression of B cell-specific molecules","","Fehr, Thomas;López-Macías, Constantino;Odermatt, Bernhard;Torres, Raul M.;Schubart, Daniel B.;O'Keefe, Theresa L.;Matthias, Patrick;Hengartner, Hans;Zinkernagel, Rolf M.","2000","International Immunology","Institute of Experimental Immunology, Department of Pathology, University Hospital, Schmelzbergstrasse 12, 8091 Zürich, Switzerland;Institute of Experimental Immunology, Department of Pathology, University Hospital, Schmelzbergstrasse 12, 8091 Zürich, Switzerland;Institute of Experimental Immunology, Department of Pathology, University Hospital, Schmelzbergstrasse 12, 8091 Zürich, Switzerland;Friedrich Miescher Institute, Maulbeerstrasse 66, 4058 Basel, Switzerland;Medical Research Council Laboratory of Molecular Biology, Hills Road, Cambridge CB2 2QH, UK;Friedrich Miescher Institute, Maulbeerstrasse 66, 4058 Basel, Switzerland;Institute of Experimental Immunology, Department of Pathology, University Hospital, Schmelzbergstrasse 12, 8091 Zürich, Switzerland;Institute of Experimental Immunology, Department of Pathology, University Hospital, Schmelzbergstrasse 12, 8091 Zürich, Switzerland","Oxford University Press","","12","9","1275","1284","0953-8178","1460-2377","copyright","© 2000 Japanese Society for Immunology","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093intimm1291275","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093intimm1291275&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093intimm1291275&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093intimm1291275&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Friedrich Miescher Institute, Maulbeerstrasse 66, 4058 Basel, Switzerland",
"Department of Biochemistry, University of Texas Health Science Center, San Antonio, TX 78284, USA, Basel, Switzerland","Pastuszak, Irena","unibas","10.1093/glycob/1.1.71","https://doi.org/10.1093/glycob/1.1.71","http://doc.rero.ch/record/292969/files/1-1-71.pdf","Purification and properties of arylmannosidases from mung bean seedlings and soybean cells","","Pastuszak, Irena;Kaushal, G.P.;Wall, K.A.;Pan, Y.T.;Sturm, A.;Elbein, A.D.","1990","Glycobiology","Department of Biochemistry, University of Texas Health Science Center, San Antonio, TX 78284, USA, Basel, Switzerland;Department of Biochemistry, University of Texas Health Science Center, San Antonio, TX 78284, USA, Basel, Switzerland;Department of Biochemistry, University of Texas Health Science Center, San Antonio, TX 78284, USA, Basel, Switzerland;Department of Biochemistry, University of Texas Health Science Center, San Antonio, TX 78284, USA, Basel, Switzerland;Friedrich Miescher Institute Basel, Switzerland;Department of Biochemistry, University of Texas Health Science Center, San Antonio, TX 78284, USA, Basel, Switzerland 1To whom correspondence should be addressed","Oxford University Press","","1","1","71","82","0959-6658","1460-2423","copyright","© Oxford University Press","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093glycob1171","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093glycob1171&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093glycob1171&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093glycob1171&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Friedrich Miescher Institute Basel, Switzerland",
