"Canton Hospital, Basel, Switzerland","Lohri, A","unibas","10.1093/annonc/mdl379","https://doi.org/10.1093/annonc/mdl379","http://doc.rero.ch/record/299624/files/mdl379.pdf","Poorer outcome of elderly patients treated with extended-field radiotherapy compared with involved-field radiotherapy after chemotherapy for Hodgkin's lymphoma: an analysis from the German Hodgkin Study Group","","Klimm, B;Eich, Ht;Haverkamp, H;Lohri, A;Koch, P;Boissevain, F;Trenn, G;Worst, P;Dühmke, E;Müller, Rp;Müller-Hermelink, K;Pfistner, B;Diehl, V;Engert, A","2006","Annals of Oncology","Department I of Internal Medicine E-mail: beate.klimm@uk-koeln.de;Department of Radiation Oncology;Coordination Center for Clinical Trials (KKSK), University Hospital Cologne, Cologne;Canton Hospital, Basel, Switzerland;University Clinic Münster, Münster;University Clinic Nürnberg, Nürnberg;Hospital Bottrop, Bottrop;University Clinic Mannheim, Mannheim;Department of Radiation Oncology, Ludwig Maximilian University München, Munich;Department of Radiation Oncology;Department of Pathology, University Hospital Würzburg, Würzburg; German Hodgkin Study Group, Germany;Coordination Center for Clinical Trials (KKSK), University Hospital Cologne, Cologne;Department I of Internal Medicine;Department I of Internal Medicine","Oxford University Press","","18","2","357","363","0923-7534","1569-8041","copyright","© 2006 European Society for Medical Oncology","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093annoncmdl379","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093annoncmdl379&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093annoncmdl379&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093annoncmdl379&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Canton Hospital, Basel, Switzerland",
"Kantonsspital, Basel, Switzerland;","Widmer, Andreas","unibas","10.1086/341087","https://doi.org/10.1086/341087","http://doc.rero.ch/record/299539/files/186-1-127.pdf","Distribution of Legionella Species and Serogroups Isolated by Culture in Patients with Sporadic Community-Acquired Legionellosis: An International Collaborative Survey","","Yu, Victor L.;Plouffe, Joseph F.;Pastoris, Maddalena Castellani;Stout, Janet E.;Schousboe, Mona;Widmer, Andreas;Summersgill, James;File, Thomas;Heath, Christopher M.;Paterson, David L.;Chereshsky, Annette","2002","The Journal of Infectious Diseases","Veterans Affairs Medical Center, Pittsburgh, Pennsylvania; E-mail: vly+@pitt.edu;Ohio State University, Columbus, and;Instituto Superiore di Sanita, Rome, Italy;;Veterans Affairs Medical Center, Pittsburgh, Pennsylvania;;Canterbury Health Laboratories, Christchurch, and;Kantonsspital, Basel, Switzerland;;University of Louisville, Louisville, Kentucky;;Northeastern College of Medicine, Akron, Ohio;;Royal Perth Hospital, Perth, and;Veterans Affairs Medical Center, Pittsburgh, Pennsylvania; Princess Alexandra Hospital, Brisbane, Australia;Communicable Disease Centre, Porirua, New Zealand;","The University of Chicago Press","","186","1","127","128","0022-1899","1537-6613","copyright","© 2002 by the Infectious Diseases Society of America","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101086341087","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101086341087&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101086341087&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101086341087&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Kantonsspital, Basel, Switzerland",
"Departments für Anaesthesie und Forschung, Kantonsspital Basel, 4031 Basel, Switzerland, Dipartimento di Medicina Sperimentale e Diagnostica, Università di Ferrara, 44100 Ferrara, Italy,","Zorzato, Francesco","unibas","10.1093/hmg/ddg032","https://doi.org/10.1093/hmg/ddg032","http://doc.rero.ch/record/291260/files/ddg032.pdf","Clinical and functional effects of a deletion in a COOH-terminal lumenal loop of the skeletal muscle ryanodine receptor","","Zorzato, Francesco;Yamaguchi, Naohiro;Xu, Le;Meissner, Gerhard;Müller, Clemens R.;Pouliquin, Pierre;Muntoni, Francesco;Sewry, Caroline;Girard, Thierry;Treves, Susan","2003","Human Molecular Genetics","Departments für Anaesthesie und Forschung, Kantonsspital Basel, 4031 Basel, Switzerland, Dipartimento di Medicina Sperimentale e Diagnostica, Università di Ferrara, 44100 Ferrara, Italy,;Departments of Biochemistry and Biophysics and Molecular and Cellular Physiology, University of North Carolina, Chapel Hill, NC 27599-7260, USA,;Departments of Biochemistry and Biophysics and Molecular and Cellular Physiology, University of North Carolina, Chapel Hill, NC 27599-7260, USA,;Departments of Biochemistry and Biophysics and Molecular and Cellular Physiology, University of North Carolina, Chapel Hill, NC 27599-7260, USA,;Institut für Humangenetik, Biozentrum der Universität Würzburg, 97074 Würzburg, Germany and;Dipartimento di Medicina Sperimentale e Diagnostica, Università di Ferrara, 44100 Ferrara, Italy,;The Dubowitz Neuromuscular Centre, Imperial College School of Medicine, London W12 0NN, UK;The Dubowitz Neuromuscular Centre, Imperial College School of Medicine, London W12 0NN, UK;Departments für Anaesthesie und Forschung, Kantonsspital Basel, 4031 Basel, Switzerland,;Departments für Anaesthesie und Forschung, Kantonsspital Basel, 4031 Basel, Switzerland,","Oxford University Press","","12","4","379","388","0964-6906","1460-2083","","","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093hmgddg032","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093hmgddg032&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093hmgddg032&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093hmgddg032&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Departments für Anaesthesie und Forschung, Kantonsspital Basel, 4031 Basel, Switzerland, Dipartimento di Medicina Sperimentale e Diagnostica, Università di Ferrara, 44100 Ferrara, Italy,",
"Department of Thoracic and Cardiovascular Surgery, Kantonsspital Basel, University Hospital, CH-4031 E-mail: mgrapow@uhbs.ch","Grapow, Martin T.R.","unibas","10.1016/S1010-7940(03)00122-2","https://doi.org/10.1016/S1010-7940(03)00122-2","http://doc.rero.ch/record/294541/files/23-6-956.pdf","Improved endothelial function after a modified harvesting technique of the internal thoracic artery","","Grapow, Martin T.R.;Kern, Thomas;Reineke, David C.;Brett, Wolfgang;Bernet, Franziska;Rueter, Florian;Müller-Schweinitzer, Else;Zerkowski, Hans-Reinhard","2003","European Journal of Cardio-Thoracic Surgery","Department of Thoracic and Cardiovascular Surgery, Kantonsspital Basel, University Hospital, CH-4031 E-mail: mgrapow@uhbs.ch;Department of Thoracic and Cardiovascular Surgery, Kantonsspital Basel, University Hospital, CH-4031;Department of Thoracic and Cardiovascular Surgery, Kantonsspital Basel, University Hospital, CH-4031;Department of Thoracic and Cardiovascular Surgery, Kantonsspital Basel, University Hospital, CH-4031;Department of Thoracic and Cardiovascular Surgery, Kantonsspital Basel, University Hospital, CH-4031;Department of Thoracic and Cardiovascular Surgery, Kantonsspital Basel, University Hospital, CH-4031;Department of Thoracic and Cardiovascular Surgery, Kantonsspital Basel, University Hospital, CH-4031;Department of Thoracic and Cardiovascular Surgery, Kantonsspital Basel, University Hospital, CH-4031","Elsevier Science B.V.","","23","6","956","961","1010-7940","1873-734X","copyright","© 2003 Elsevier Science B.V.","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101016S1010794003001222","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016S1010794003001222&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016S1010794003001222&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016S1010794003001222&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Department of Thoracic and Cardiovascular Surgery, Kantonsspital Basel, University Hospital, CH-4031 E-mail: mgrapow@uhbs.ch",
"Affiliation of authors: Department of Research, Division of Hematology, Kantonsspital Basel, Switzerland.","Gratwohl, Alois","unibas","10.1093/jnci/93.12.949","https://doi.org/10.1093/jnci/93.12.949","http://doc.rero.ch/record/289613/files/0930949.pdf","Re: Stem Cell Transplant Numbers Decline; Research Continues","","Gratwohl, Alois;Baldomero, Helen","2001","Journal of the National Cancer Institute","Affiliation of authors: Department of Research, Division of Hematology, Kantonsspital Basel, Switzerland.;Affiliation of authors: Department of Research, Division of Hematology, Kantonsspital Basel, Switzerland.","Oxford University Press","","93","12","949","949","0027-8874","1460-2105","copyright","© Oxford University Press","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093jnci9312949","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093jnci9312949&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093jnci9312949&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093jnci9312949&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Affiliation of authors: Department of Research, Division of Hematology, Kantonsspital Basel, Switzerland.",
"University Central Laboratory, Kantonsspital, Petersgraben, Basel, Switzerland","Reber, Hans","unibas","10.1017/S0195941700058768","https://doi.org/10.1017/S0195941700058768","http://doc.rero.ch/record/293170/files/S0195941700058768.pdf","Rationale and Testing of Degerming Procedures","","Reber, Hans","1984","Infection Control","University Central Laboratory, Kantonsspital, Petersgraben, Basel, Switzerland","Cambridge University Press","","5","1","28","31","0195-9417","2327-9451","copyright","Copyright © The Society for Healthcare Epidemiology of America 1984","cambridge","https://www.swissbib.ch/Search/Results?lookfor=nationallicencecambridge101017S0195941700058768","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0195941700058768&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0195941700058768&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0195941700058768&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","University Central Laboratory, Kantonsspital, Petersgraben, Basel, Switzerland",
"Department Forschung Kantonsspital Basel, and Medizinische Abteilung Kantonsspital Liestal, Switzerland Address for corespondence K. R. Heer, Kasernenstrasse 22A, 4410 Liestal, Switzerland","Heer, K. R.","unibas","10.1093/oxfordjournals.eurheartj.a059798","https://doi.org/10.1093/oxfordjournals.eurheartj.a059798","http://doc.rero.ch/record/290152/files/11-9-788.pdf","Early appearance of 2, 3-butanediol in acute myocardial infarction. A new marker for ischaemia?","","Heer, K. R.;Stalder, H.;Thoelen, H.","1990","European Heart Journal","Department Forschung Kantonsspital Basel, and Medizinische Abteilung Kantonsspital Liestal, Switzerland Address for corespondence K. R. Heer, Kasernenstrasse 22A, 4410 Liestal, Switzerland;Department Forschung Kantonsspital Basel, and Medizinische Abteilung Kantonsspital Liestal, Switzerland;Department Forschung Kantonsspital Basel, and Medizinische Abteilung Kantonsspital Liestal, Switzerland","Oxford University Press","","11","9","788","790","0195-668X","1522-9645","copyright","© 1990 The European Society of Cardiology","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093oxfordjournalseurheartja059798","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oxfordjournalseurheartja059798&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oxfordjournalseurheartja059798&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oxfordjournalseurheartja059798&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Department Forschung Kantonsspital Basel, and Medizinische Abteilung Kantonsspital Liestal, Switzerland Address for corespondence K. R. Heer, Kasernenstrasse 22A, 4410 Liestal, Switzerland",
"Friedrich Miescher Institut, Maulbeerstrasse 66, CH-4058 Basel, Switzerland, Hebelstrasse 20, CH-4031 Basel, Switzerland","Höfferer, Manuela","unibas","10.1093/nar/27.2.491","https://doi.org/10.1093/nar/27.2.491","http://doc.rero.ch/record/298503/files/27-2-491.pdf","Increased levels of E2F-1-dependent DNA binding activity after UV- or γ-irradiation","","Höfferer, Manuela;Wirbelauer, Christiane;Humar, Bostian;Krek, Wilhelm","1999","Nucleic Acids Research","Friedrich Miescher Institut, Maulbeerstrasse 66, CH-4058 Basel, Switzerland, Hebelstrasse 20, CH-4031 Basel, Switzerland;Friedrich Miescher Institut, Maulbeerstrasse 66, CH-4058 Basel, Switzerland, Hebelstrasse 20, CH-4031 Basel, Switzerland;Departement Forschung, Kantonsspital Basel, Hebelstrasse 20, CH-4031 Basel, Switzerland;Friedrich Miescher Institut, Maulbeerstrasse 66, CH-4058 Basel, Switzerland, Hebelstrasse 20, CH-4031 Basel, Switzerland E-mail: wilhelm.krek@fmi.ch","Oxford University Press","","27","2","491","495","0305-1048","1362-4962","copyright","© 1999 Oxford University Press","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093nar272491","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093nar272491&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093nar272491&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093nar272491&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Departement Forschung, Kantonsspital Basel, Hebelstrasse 20, CH-4031 Basel, Switzerland",
"Departement Forschung Kantonsspital Basel, Klinik für Thorax-, Herz- und Gefasschirurgie Inseispital Bern, Switzerland Correspondence: Dr Kaspar Heer, Spezialarzt für Innere Medizin, Spez, Herzkrankheiten, Kasernenstr, 22a, 4410 Liestal, Switzerland","Heer, K. R.","unibas","10.1093/oxfordjournals.eurheartj.a059956","https://doi.org/10.1093/oxfordjournals.eurheartj.a059956","http://doc.rero.ch/record/301622/files/12-5-654.pdf","2,3-butanediol in experimental myocardial ischaemia in pigs","","Heer, K. R.;Althaus, U.;Mettler, D.;Schilt, W.;Thoelen, H.","1991","European Heart Journal","Departement Forschung Kantonsspital Basel, Klinik für Thorax-, Herz- und Gefasschirurgie Inseispital Bern, Switzerland Correspondence: Dr Kaspar Heer, Spezialarzt für Innere Medizin, Spez, Herzkrankheiten, Kasernenstr, 22a, 4410 Liestal, Switzerland;Departement Forschung Kantonsspital Basel, Klinik für Thorax-, Herz- und Gefasschirurgie Inseispital Bern, Switzerland;Departement Forschung Kantonsspital Basel, Klinik für Thorax-, Herz- und Gefasschirurgie Inseispital Bern, Switzerland;Departement Forschung Kantonsspital Basel, Klinik für Thorax-, Herz- und Gefasschirurgie Inseispital Bern, Switzerland;Departement Forschung Kantonsspital Basel, Klinik für Thorax-, Herz- und Gefasschirurgie Inseispital Bern, Switzerland","Oxford University Press","","12","5","654","656","0195-668X","1522-9645","copyright","© 1991 The European Society of Cardiology","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093oxfordjournalseurheartja059956","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oxfordjournalseurheartja059956&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oxfordjournalseurheartja059956&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oxfordjournalseurheartja059956&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Departement Forschung Kantonsspital Basel, Klinik für Thorax-, Herz- und Gefasschirurgie Inseispital Bern, Switzerland Correspondence: Dr Kaspar Heer, Spezialarzt für Innere Medizin, Spez, Herzkrankheiten, Kasernenstr, 22a, 4410 Liestal, Switzerland",
"Pharmacoepidemiologie, Abt. Klinische Pharmakologie, Department Innere Medizin, Kantonsspital, Basel, Switzerland","Meier, Cristopher","unibas","10.1086/315598","https://doi.org/10.1086/315598","http://doc.rero.ch/record/298084/files/181-Supplement_3-S430.pdf","Collaborative Multidisciplinary Workshop Report: The Role of Epidemiology Studies in Determining a Possible Relationship between Chlamydia pneumoniae Infection and Atherothrombotic Diseases","","Siscovick, David;Alexander, Russell;Davidson, Michael;Leinonen, Maija;O'Connor, Siobhan;Ewald, Paul;Meier, Cristopher;Puolakkainen, Mirja;Hughes, James;Nieto, Javier","2000","The Journal of Infectious Diseases","Cardiovascular Health Research Unit;Department of Epidemiology, University of Washington E-mail: russa@u.washington.edu;MedStar Research Institute, Washington, DC;National Public Health Institute, Oulu;National Center for Infectious Diseases, Centers for Disease Control and Prevention, Atlanta, Georgia;Department of Biology, Amherst College, Amherst, Massachusetts;Pharmacoepidemiologie, Abt. Klinische Pharmakologie, Department Innere Medizin, Kantonsspital, Basel, Switzerland;Department of Virology, University of Helsinki, Finland;National Center for Infectious Diseases, Centers for Disease Control and Prevention, Atlanta, Georgia;Department of Epidemiology, Johns Hopkins University School of Hygiene, Baltimore, Maryland","The University of Chicago Press","","181","Supplement_3","S430","S431","0022-1899","1537-6613","copyright","© 2000 by the Infectious Diseases Society of America","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101086315598","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101086315598&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101086315598&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101086315598&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Pharmacoepidemiologie, Abt. Klinische Pharmakologie, Department Innere Medizin, Kantonsspital, Basel, Switzerland",
