"Institute of Plant Biology, University Research Priority Program in Systems Biology/Functional Genomics & Zurich-Basel Plant Science Center, University of Zurich, Zollikerstrasse 107, CH-8008 Zurich, Switzerland","Shimizu, Kentaro K.","unibas","10.1093/aob/mcr180","https://doi.org/10.1093/aob/mcr180","http://doc.rero.ch/record/303987/files/mcr180.pdf","Plant sexual reproduction during climate change: gene function in natura studied by ecological and evolutionary systems biology","","Shimizu, Kentaro K.;Kudoh, Hiroshi;Kobayashi, Masaki J.","2011","Annals of Botany","Institute of Plant Biology, University Research Priority Program in Systems Biology/Functional Genomics & Zurich-Basel Plant Science Center, University of Zurich, Zollikerstrasse 107, CH-8008 Zurich, Switzerland;Centre for Ecological Research, Kyoto University, Hirano 2-509-1, Otsu 520-2113, Japan;Institute of Plant Biology, University Research Priority Program in Systems Biology/Functional Genomics & Zurich-Basel Plant Science Center, University of Zurich, Zollikerstrasse 107, CH-8008 Zurich, Switzerland","Oxford University Press","","108","4","777","787","0305-7364","1095-8290","creative-commons","This is an Open Access article distributed under the terms of the Creative Commons Attribution Non-Commercial License (http://creativecommons.org/licenses/by-nc/2.5/) which permits unrestricted non-commercial use, distribution, and reproduction in any medium, provided the original work is properly cited.","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093aobmcr180","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093aobmcr180&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093aobmcr180&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093aobmcr180&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Institute of Plant Biology, University Research Priority Program in Systems Biology/Functional Genomics & Zurich-Basel Plant Science Center, University of Zurich, Zollikerstrasse 107, CH-8008 Zurich, Switzerland",
"From the Laboratoire de Biologie de la Conservation, Département d'Ecologie et Evolution, Biophore, Université de Lausanne, Switzerland (Ursenbacher, Erny, and Fumagalli); and the School of Biological Sciences, University of Wales—Bangor, Bangor LL57 2UW, UK (Ursenbacher) E-mail: s.ursenbacher@unibas.ch","Ursenbacher, Sylvain","unibas","10.1093/jhered/esn104","https://doi.org/10.1093/jhered/esn104","http://doc.rero.ch/record/293811/files/esn104.pdf","Male Reproductive Success and Multiple Paternity in Wild, Low-Density Populations of the Adder (Vipera berus)","","Ursenbacher, Sylvain;Erny, Cecile;Fumagalli, Luca","2008","Journal of Heredity","From the Laboratoire de Biologie de la Conservation, Département d'Ecologie et Evolution, Biophore, Université de Lausanne, Switzerland (Ursenbacher, Erny, and Fumagalli); and the School of Biological Sciences, University of Wales—Bangor, Bangor LL57 2UW, UK (Ursenbacher) E-mail: s.ursenbacher@unibas.ch;From the Laboratoire de Biologie de la Conservation, Département d'Ecologie et Evolution, Biophore, Université de Lausanne, Switzerland (Ursenbacher, Erny, and Fumagalli); and the School of Biological Sciences, University of Wales—Bangor, Bangor LL57 2UW, UK (Ursenbacher);From the Laboratoire de Biologie de la Conservation, Département d'Ecologie et Evolution, Biophore, Université de Lausanne, Switzerland (Ursenbacher, Erny, and Fumagalli); and the School of Biological Sciences, University of Wales—Bangor, Bangor LL57 2UW, UK (Ursenbacher)","Oxford University Press","","100","3","365","370","0022-1503","1465-7333","copyright","© The American Genetic Association. 2008. All rights reserved. For permissions, please email: journals.permissions@oxfordjournals.org.","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093jheredesn104","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093jheredesn104&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093jheredesn104&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093jheredesn104&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","From the Laboratoire de Biologie de la Conservation, Département d'Ecologie et Evolution, Biophore, Université de Lausanne, Switzerland (Ursenbacher, Erny, and Fumagalli)",
"Rockefeller University, Laboratory of Microbiology, New York, Basel, Switzerland","Tuomanen, Elaine","unibas","10.1093/infdis/151.3.535","https://doi.org/10.1093/infdis/151.3.535","http://doc.rero.ch/record/292132/files/151-3-535.pdf","The Relative Role of Bacterial Cell Wall and Capsule in the Induction of Inflammation in Pneumococcal Meningitis","","Tuomanen, Elaine;Tomasz, Alexander;Hengstler, Bruno;Zak, Oto","1985","Journal of Infectious Diseases","Rockefeller University, Laboratory of Microbiology, New York, Basel, Switzerland;Rockefeller University, Laboratory of Microbiology, New York, Basel, Switzerland;Rockefeller University, Laboratory of Microbiology, New York, Basel, Switzerland;Rockefeller University, Laboratory of Microbiology, New York, Basel, Switzerland","The University of Chicago Press","","151","3","535","540","0022-1899","1537-6613","copyright","© 1985 by The University of Chicago","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093infdis1513535","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093infdis1513535&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093infdis1513535&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093infdis1513535&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Rockefeller University, Laboratory of Microbiology, New York, Basel, Switzerland",
"Zurich Basel Plant Science Center, University of Zurich, Plant Biology, Zollikerstrasse 107, CH-8008 Zürich, Switzerland","Frelet-Barrand, Annie","unibas","10.1093/pcp/pcn034","https://doi.org/10.1093/pcp/pcn034","http://doc.rero.ch/record/302561/files/pcn034.pdf","Comparative Mutant Analysis of Arabidopsis ABCC-Type ABC Transporters: AtMRP2 Contributes to Detoxification, Vacuolar Organic Anion Transport and Chlorophyll Degradation","","Frelet-Barrand, Annie;Kolukisaoglu, H. Üner;Plaza, Sonia;Rüffer, Maika;Azevedo, Louis;Hörtensteiner, Stefan;Marinova, Krasimira;Weder, Barbara;Schulz, Burkhard;Klein, Markus","2008","Plant and Cell Physiology","Zurich Basel Plant Science Center, University of Zurich, Plant Biology, Zollikerstrasse 107, CH-8008 Zürich, Switzerland;University of Rostock, Institute of Biosciences, Albert-Einstein-Str. 3, D-18059 Rostock, Germany;University of Fribourg, Plant Biology, 3, Albert-Gockel, CH-1700 Fribourg, Switzerland;University of Rostock, Institute of Biosciences, Albert-Einstein-Str. 3, D-18059 Rostock, Germany;Zurich Basel Plant Science Center, University of Zurich, Plant Biology, Zollikerstrasse 107, CH-8008 Zürich, Switzerland;Zurich Basel Plant Science Center, University of Zurich, Plant Biology, Zollikerstrasse 107, CH-8008 Zürich, Switzerland;Zurich Basel Plant Science Center, University of Zurich, Plant Biology, Zollikerstrasse 107, CH-8008 Zürich, Switzerland;Zurich Basel Plant Science Center, University of Zurich, Plant Biology, Zollikerstrasse 107, CH-8008 Zürich, Switzerland;Purdue University, Horticulture and Landscape Architecture, 625 Agriculture Mall Dr., West Lafayette, IN, 47907-2010, USA;Zurich Basel Plant Science Center, University of Zurich, Plant Biology, Zollikerstrasse 107, CH-8008 Zürich, Switzerland E-mail: markus.klein@botinst.uzh.ch","Oxford University Press","","49","4","557","569","0032-0781","1471-9053","copyright","© The Author 2008. Published by Oxford University Press on behalf of Japanese Society of Plant Physiologists. All rights reserved. For permissions, please email: journals.permissions@oxfordjournals.org","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093pcppcn034","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093pcppcn034&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093pcppcn034&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093pcppcn034&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Zurich Basel Plant Science Center, University of Zurich, Plant Biology, Zollikerstrasse 107, CH-8008 Zürich, Switzerland",
"Microbial Pathogenesis Unit, San Francisco General Hospital, and Department of Medicine, University of California, San Francisco, Basel, Switzerland Reprints or correspondence: Dr. Martin Täuber, Microbial Pathogenesis Unit, Box 0811, University of California, San Francisco, 3rd and Parnassus Ave., San Francisco, CA 94143.","Täuber, Martin G.","unibas","10.1093/infdis/166.5.1045","https://doi.org/10.1093/infdis/166.5.1045","http://doc.rero.ch/record/304034/files/166-5-1045.pdf","Toxicity in Neuronal Cells Caused by Cerebrospinal Fluid from Pneumococcaland Gram-Negative Meningitis","","Täuber, Martin G.;Sachdeva, Meena;Kennedy, Stephen L.;Loetscher, Hansruedi;Lesslauer, Werner","1992","Journal of Infectious Diseases","Microbial Pathogenesis Unit, San Francisco General Hospital, and Department of Medicine, University of California, San Francisco, Basel, Switzerland Reprints or correspondence: Dr. Martin Täuber, Microbial Pathogenesis Unit, Box 0811, University of California, San Francisco, 3rd and Parnassus Ave., San Francisco, CA 94143.;Microbial Pathogenesis Unit, San Francisco General Hospital, and Department of Medicine, University of California, San Francisco, Basel, Switzerland;Microbial Pathogenesis Unit, San Francisco General Hospital, and Department of Medicine, University of California, San Francisco, Basel, Switzerland;Microbial Pathogenesis Unit, San Francisco General Hospital, and Department of Medicine, University of California, San Francisco, Basel, Switzerland;Microbial Pathogenesis Unit, San Francisco General Hospital, and Department of Medicine, University of California, San Francisco, Basel, Switzerland","The University of Chicago Press","","166","5","1045","1050","0022-1899","1537-6613","copyright","© 1992 The University of Chicago","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093infdis16651045","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093infdis16651045&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093infdis16651045&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093infdis16651045&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Microbial Pathogenesis Unit, San Francisco General Hospital, and Department of Medicine, University of California, San Francisco, Basel, Switzerland Reprints or correspondence: Dr. Martin Täuber, Microbial Pathogenesis Unit, Box 0811, University of California, San Francisco, 3rd and Parnassus Ave., San Francisco, CA 94143.",
"Department of Medicine, University of California, San Francisco, California, Basel, Switzerland, Charlottesville, Virginia","Täuber, Martin G.","unibas","10.1093/infdis/149.4.575","https://doi.org/10.1093/infdis/149.4.575","http://doc.rero.ch/record/289911/files/149-4-575.pdf","The Postantibiotic Effect in the Treatment of Experimental Meningitis Caused by Streptococcus pneumoniae in Rabbits","","Täuber, Martin G.;Zak, Oto;Scheid, W. Michael;Hengstler, Bruno;Sande, Merle A.","1984","Journal of Infectious Diseases","Department of Medicine, University of California, San Francisco, California, Basel, Switzerland, Charlottesville, Virginia;Department of Medicine, University of California, San Francisco, California, Basel, Switzerland, Charlottesville, Virginia;Department of Medicine, University of California, San Francisco, California, Basel, Switzerland, Charlottesville, Virginia;Department of Medicine, University of California, San Francisco, California, Basel, Switzerland, Charlottesville, Virginia;Department of Medicine, University of California, San Francisco, California, Basel, Switzerland, Charlottesville, Virginia","The University of Chicago Press","","149","4","575","583","0022-1899","1537-6613","copyright","© 1984 by The University of Chicago","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093infdis1494575","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093infdis1494575&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093infdis1494575&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093infdis1494575&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Department of Medicine, University of California, San Francisco, California, Basel, Switzerland, Charlottesville, Virginia",
"Cary L. Cooper obtained his B.S. and M.B.A. degrees in behavioural science from the University of California, Los Angeles and his Ph.D. from the University of Leeds. He is currently senior lecturer in psychology at the University of Manchester. Institute of Science and Technology. He has written two books, T-Groups: A Survey of Research, (John Wiley & Sons, 1971) and Group Training for Individual and Organizational Development (S. Karger AG, Basel, Switzerland, 1973) and has another book, Theories of Group Processes (John Wiley A. Sons), in preparation for publication in late 1974. He is an Executive Member of the Group Relations Training Association and the European Editor of the international quarterly journal, Interpersonal Development","Cooper, Cary L.","unibas","10.1093/oxfordjournals.bjsw.a056464","https://doi.org/10.1093/oxfordjournals.bjsw.a056464","http://doc.rero.ch/record/294798/files/4-1-39.pdf","Psychological Disturbance Following T-Groups:","Relationship between the Eysenck Personality Inventroy and Family/Friends Perceptions","Cooper, Cary L.","1974","The British Journal of Social Work","Cary L. Cooper obtained his B.S. and M.B.A. degrees in behavioural science from the University of California, Los Angeles and his Ph.D. from the University of Leeds. He is currently senior lecturer in psychology at the University of Manchester. Institute of Science and Technology. He has written two books, T-Groups: A Survey of Research, (John Wiley & Sons, 1971) and Group Training for Individual and Organizational Development (S. Karger AG, Basel, Switzerland, 1973) and has another book, Theories of Group Processes (John Wiley A. Sons), in preparation for publication in late 1974. He is an Executive Member of the Group Relations Training Association and the European Editor of the international quarterly journal, Interpersonal Development","Oxford University Press","","4","1","39","49","0045-3102","1468-263X","copyright","© Oxford University Press","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093oxfordjournalsbjswa056464","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oxfordjournalsbjswa056464&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oxfordjournalsbjswa056464&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oxfordjournalsbjswa056464&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Cary L. Cooper obtained his B.S. and M.B.A. degrees in behavioural science from the University of California, Los Angeles and his Ph.D. from the University of Leeds. He is currently senior lecturer in psychology at the University of Manchester. Institute of Science and Technology. He has written two books, T-Groups: A Survey of Research, (John Wiley & Sons, 1971) and Group Training for Individual and Organizational Development (S. Karger AG, Basel, Switzerland, 1973) and has another book, Theories of Group Processes (John Wiley A. Sons), in preparation for publication in late 1974. He is an Executive Member of the Group Relations Training Association and the European Editor of the international quarterly journal, Interpersonal Development",
"Institut für Pathologie, Universität CH-4002 Basel, Switzerland","Probst, Alphonse","unibas","10.1093/cercor/bhm021","https://doi.org/10.1093/cercor/bhm021","http://doc.rero.ch/record/291307/files/bhm021.pdf","Laminar Specificity of Intrinsic Connections in Broca's Area","","Tardif, Eric;Probst, Alphonse;Clarke, Stephanie","2007","Cerebral Cortex","Service de Neuropsychologie et de Neuroréhabilitation, CHUV, Université de Lausanne, CH-1011 Lausanne, Switzerland Département de Biologie Cellulaire et de Morphologie, Université de Lausanne, CH-1011 Lausanne, Switzerland;Institut für Pathologie, Universität CH-4002 Basel, Switzerland;Service de Neuropsychologie et de Neuroréhabilitation, CHUV, Université de Lausanne, CH-1011 Lausanne, Switzerland E-mail: stephanie.clarke@chuv.ch","Oxford University Press","","17","12","2949","2960","1047-3211","1460-2199","copyright","© The Author 2007. Published by Oxford University Press. All rights reserved. For permissions, please e-mail: journals.permissions@oxfordjournals.org","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093cercorbhm021","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093cercorbhm021&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093cercorbhm021&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093cercorbhm021&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Service de Neuropsychologie et de Neuroréhabilitation, CHUV, Université de Lausanne, CH-1011 Lausanne, Switzerland Département de Biologie Cellulaire et de Morphologie, Université de Lausanne, CH-1011 Lausanne, Switzerland",
"Laboratory of Microbiology, the Rockefeller University, New York, New York, Basel, Switzerland Please address requests for reprints to Dr. Elaine Tuomanen, The Rockefeller University,Box 152,1230 York Avenue, New York, New York 10021.","Tuomanen, Elaine","unibas","10.1093/infdis/155.5.985","https://doi.org/10.1093/infdis/155.5.985","http://doc.rero.ch/record/293721/files/155-5-985.pdf","Nonsteroidal Anti-Inflammatory Agents in the Therapy for Experimental Pneumococcal Meningitis","","Tuomanen, Elaine;Hengstler, Bruno;Rich, Roland;Bray, Michael A.;Zak, Oto;Tomasz, Alexander","1987","Journal of Infectious Diseases","Laboratory of Microbiology, the Rockefeller University, New York, New York, Basel, Switzerland Please address requests for reprints to Dr. Elaine Tuomanen, The Rockefeller University,Box 152,1230 York Avenue, New York, New York 10021.;Laboratory of Microbiology, the Rockefeller University, New York, New York, Basel, Switzerland;Laboratory of Microbiology, the Rockefeller University, New York, New York, Basel, Switzerland;Laboratory of Microbiology, the Rockefeller University, New York, New York, Basel, Switzerland;Laboratory of Microbiology, the Rockefeller University, New York, New York, Basel, Switzerland;Laboratory of Microbiology, the Rockefeller University, New York, New York, Basel, Switzerland","The University of Chicago Press","","155","5","985","990","0022-1899","1537-6613","copyright","© 1987 by The University of Chicago","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093infdis1555985","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093infdis1555985&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093infdis1555985&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093infdis1555985&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Laboratory of Microbiology, the Rockefeller University, New York, New York, Basel, Switzerland Please address requests for reprints to Dr. Elaine Tuomanen, The Rockefeller University,Box 152,1230 York Avenue, New York, New York 10021.",
"Laboratory of Microbiology, The Rockefeller University, New York, Basel, Switzerland","Tuomanen, Elaine","unibas","10.1093/infdis/151.5.859","https://doi.org/10.1093/infdis/151.5.859","http://doc.rero.ch/record/293448/files/151-5-859.pdf","The Induction of Meningeal Inflammation by Components of the Pneumococcal Cell Wall","","Tuomanen, Elaine;Liu, Hans;Hengstler, Bruno;Zak, Oto;Tomasz, Alexander","1985","Journal of Infectious Diseases","Laboratory of Microbiology, The Rockefeller University, New York, Basel, Switzerland;Laboratory of Microbiology, The Rockefeller University, New York, Basel, Switzerland;Laboratory of Microbiology, The Rockefeller University, New York, Basel, Switzerland;Laboratory of Microbiology, The Rockefeller University, New York, Basel, Switzerland;Laboratory of Microbiology, The Rockefeller University, New York, Basel, Switzerland","The University of Chicago Press","","151","5","859","868","0022-1899","1537-6613","copyright","© 1985 by The University of Chicago","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093infdis1515859","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093infdis1515859&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093infdis1515859&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093infdis1515859&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Laboratory of Microbiology, The Rockefeller University, New York, Basel, Switzerland",
