"Swiss Tropical Institute Socinstrasse 57 P.O. Box CH-4002 Basel, Switzerland","Smith, Tom","unibas","10.1016/S0035-9203(01)90222-6","https://doi.org/10.1016/S0035-9203(01)90222-6","http://doc.rero.ch/record/291814/files/95-3-238a.pdf","Design and Analysis of Cluster Randomization Trials in Health Research. A. Donner & N. Klar. London: Arnold, 2000. x+178pp. Price £35.00 (paperback). ISBN 0-340-69153-0","","Smith, Tom","2001","Transactions of The Royal Society of Tropical Medicine and Hygiene","Swiss Tropical Institute Socinstrasse 57 P.O. Box CH-4002 Basel, Switzerland","Royal Society of Tropical Medicine and Hygiene","","95","3","238","238","0035-9203","1878-3503","","","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101016S0035920301902226","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016S0035920301902226&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016S0035920301902226&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016S0035920301902226&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Swiss Tropical Institute Socinstrasse 57 P.O. Box CH-4002 Basel, Switzerland",
"Swiss Tropical Institute, CH-4051 Basel, Switzerland","Rudin, W.","unibas","10.1016/0035-9203(85)90086-0","https://doi.org/10.1016/0035-9203(85)90086-0","http://doc.rero.ch/record/299021/files/79-4-527.pdf","Immunopathological aspects of trypanosomal meningoencephalitis in vervet monkeys after relapse following BerenilR treatment","","Poltera, A.A.;Sayer, P.D.;Brighouse, G.;Bovell, D.;Rudin, W.","1985","Transactions of The Royal Society of Tropical Medicine and Hygiene","CIBA-GEIGY R-1241.2.01, CH-4002 Basel, Switzerland ∗address for correspondence.;Kenya Trypanosomiases Research Institute, Kikuyu, Kenya;WHO Immunology Research and Training Centre, Geneva, Switzerland;International Laboratory for Research on Animal Diseases, Nairobi, Kenya;Swiss Tropical Institute, CH-4051 Basel, Switzerland","Royal Society of Tropical Medicine and Hygiene","","79","4","527","531","0035-9203","1878-3503","","","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford1010160035920385900860","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford1010160035920385900860&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford1010160035920385900860&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford1010160035920385900860&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Swiss Tropical Institute, CH-4051 Basel, Switzerland",
"Department of Public Health and Epidemiology, Swiss Tropical Institute, P.O. Box, CH-4002 Basel, Switzerland","Knopp, Stefanie","unibas","10.1016/j.trstmh.2008.11.013","https://doi.org/10.1016/j.trstmh.2008.11.013","http://doc.rero.ch/record/296532/files/103-4-347.pdf","A single FLOTAC is more sensitive than triplicate Kato–Katz for the diagnosis of low-intensity soil-transmitted helminth infections","","Knopp, Stefanie;Rinaldi, Laura;Khamis, I. Simba;Stothard, J. Russell;Rollinson, David;Maurelli, Maria P.;Steinmann, Peter;Marti, Hanspeter;Cringoli, Giuseppe;Utzinger, Jürg","2009","Transactions of The Royal Society of Tropical Medicine and Hygiene","Department of Public Health and Epidemiology, Swiss Tropical Institute, P.O. Box, CH-4002 Basel, Switzerland;Department of Pathology and Animal Health, CREMOPAR Regione Campania, University of Naples ‘Federico II’, Via della Veterinaria 1, 80137 Naples, Italy;Helminth Control Laboratory Unguja, Ministry of Health and Social Welfare, P.O. Box 236, Mianzini, Zanzibar, Tanzania;Wolfson Wellcome Biomedical Laboratories, Biomedical Parasitology Division, Department of Zoology, Natural History Museum, Cromwell Road, London SW7 5BD, UK;Wolfson Wellcome Biomedical Laboratories, Biomedical Parasitology Division, Department of Zoology, Natural History Museum, Cromwell Road, London SW7 5BD, UK;Department of Pathology and Animal Health, CREMOPAR Regione Campania, University of Naples ‘Federico II’, Via della Veterinaria 1, 80137 Naples, Italy;Department of Public Health and Epidemiology, Swiss Tropical Institute, P.O. Box, CH-4002 Basel, Switzerland National Institute of Parasitic Diseases, Chinese Center for Disease Control and Prevention, Shanghai 200025, People's Republic of China;Department of Medical and Diagnostic Services, Swiss Tropical Institute, P.O. Box, CH-4002 Basel, Switzerland;Department of Pathology and Animal Health, CREMOPAR Regione Campania, University of Naples ‘Federico II’, Via della Veterinaria 1, 80137 Naples, Italy;Department of Public Health and Epidemiology, Swiss Tropical Institute, P.O. Box, CH-4002 Basel, Switzerland E-mail: juerg.utzinger@unibas.ch","Royal Society of Tropical Medicine and Hygiene","","103","4","347","354","0035-9203","1878-3503","","","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101016jtrstmh200811013","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016jtrstmh200811013&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016jtrstmh200811013&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016jtrstmh200811013&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Department of Public Health and Epidemiology, Swiss Tropical Institute, P.O. Box, CH-4002 Basel, Switzerland",
"Papua New Guinea Institute of Medical Research, P.O. Box 378, Madang, Papua New Guinea Swiss Tropical Institute, Socinstrasse 57, Postfach CH-4002, Basel, Switzerland","Smith, T.","unibas","10.1016/S0035-9203(01)90315-3","https://doi.org/10.1016/S0035-9203(01)90315-3","http://doc.rero.ch/record/300975/files/95-1-7.pdf","Area effects of bednet use in a malaria-endemic area in Papua New Guinea","","Hii, J.L.K.;Smith, T.;Vounatsou, P.;Alexander, N.;Mai, A.;Ibam, E.;Alpers, M.P.","2001","Transactions of The Royal Society of Tropical Medicine and Hygiene","Papua New Guinea Institute of Medical Research, P.O. Box 378, Madang, Papua New Guinea School of Public Health and Tropical Medicine, James Cook University, Townsville, Queensland 4811, Australia E-mail: jeffrey_hii@ausaid.gov.au;Papua New Guinea Institute of Medical Research, P.O. Box 378, Madang, Papua New Guinea Swiss Tropical Institute, Socinstrasse 57, Postfach CH-4002, Basel, Switzerland;Swiss Tropical Institute, Socinstrasse 57, Postfach CH-4002, Basel, Switzerland;Papua New Guinea Institute of Medical Research, P.O. Box 378, Madang, Papua New Guinea;Papua New Guinea Institute of Medical Research, P.O. Box 378, Madang, Papua New Guinea;Papua New Guinea Institute of Medical Research, P.O. Box 378, Madang, Papua New Guinea;Papua New Guinea Institute of Medical Research, P.O. Box 378, Madang, Papua New Guinea","Royal Society of Tropical Medicine and Hygiene","","95","1","7","13","0035-9203","1878-3503","","","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101016S0035920301903153","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016S0035920301903153&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016S0035920301903153&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016S0035920301903153&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Papua New Guinea Institute of Medical Research, P.O. Box 378, Madang, Papua New Guinea Swiss Tropical Institute, Socinstrasse 57, Postfach CH-4002, Basel, Switzerland",
"Institute of Parasitic Diseases, Chinese Academy of Preventive Medicine, Shanghai, China Swiss Tropical Institute, Socinstrasse 57, 4051 Basel, Switzerland","Xiao, S.","unibas","10.1016/S0035-9203(99)90039-1","https://doi.org/10.1016/S0035-9203(99)90039-1","http://doc.rero.ch/record/300214/files/93-3-324.pdf","Therapeutic effect of praziquantel enantiomers in mice infected with Schistosoma mansoni","","Xiao, S.;Chollet, J.;Booth, M.;Weiss, N.A.;Tanner, M.","1999","Transactions of The Royal Society of Tropical Medicine and Hygiene","Institute of Parasitic Diseases, Chinese Academy of Preventive Medicine, Shanghai, China Swiss Tropical Institute, Socinstrasse 57, 4051 Basel, Switzerland;Swiss Tropical Institute, Socinstrasse 57, 4051 Basel, Switzerland;Swiss Tropical Institute, Socinstrasse 57, 4051 Basel, Switzerland;Swiss Tropical Institute, Socinstrasse 57, 4051 Basel, Switzerland;Swiss Tropical Institute, Socinstrasse 57, 4051 Basel, Switzerland E-mail: tanner@ubaclu.unibas.ch","Royal Society of Tropical Medicine and Hygiene","","93","3","324","325","0035-9203","1878-3503","","","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101016S0035920399900391","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016S0035920399900391&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016S0035920399900391&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016S0035920399900391&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Institute of Parasitic Diseases, Chinese Academy of Preventive Medicine, Shanghai, China Swiss Tropical Institute, Socinstrasse 57, 4051 Basel, Switzerland",
"Swiss Tropical Institute, Socinstrasse 57, CH-4002 Basel, Switzerland Address for correspondence: Dr Jacob Koella, Swiss Tropical Institute, Socinstrasse 57, CH-4002 Basel, Switzerland.","Koella, J.C.","unibas","10.1016/0035-9203(90)90135-2","https://doi.org/10.1016/0035-9203(90)90135-2","http://doc.rero.ch/record/304804/files/84-5-662.pdf","In vitro resistance patterns of Plasmodium falciparum to chloroquine—a reflection of strain-specific immunity?","","Koella, J.C.;Hatz, Ch.;Mshinda, H.;De Savigny, D.;Macpherson, C.N.L.;Degrémont, A.A.;Tanner, M.","1990","Transactions of The Royal Society of Tropical Medicine and Hygiene","Swiss Tropical Institute, Socinstrasse 57, CH-4002 Basel, Switzerland Address for correspondence: Dr Jacob Koella, Swiss Tropical Institute, Socinstrasse 57, CH-4002 Basel, Switzerland.;Swiss Tropical Institute Field Laboratory, P.O. Box 53, Ifakara, Tanzania;Swiss Tropical Institute Field Laboratory, P.O. Box 53, Ifakara, Tanzania;Swiss Tropical Institute Field Laboratory, P.O. Box 53, Ifakara, Tanzania;Swiss Tropical Institute Field Laboratory, P.O. Box 53, Ifakara, Tanzania;Swiss Tropical Institute, Socinstrasse 57, CH-4002 Basel, Switzerland;Swiss Tropical Institute, Socinstrasse 57, CH-4002 Basel, Switzerland","Royal Society of Tropical Medicine and Hygiene","","84","5","662","665","0035-9203","1878-3503","","","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford1010160035920390901352","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford1010160035920390901352&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford1010160035920390901352&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford1010160035920390901352&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Swiss Tropical Institute, Socinstrasse 57, CH-4002 Basel, Switzerland Address for correspondence: Dr Jacob Koella, Swiss Tropical Institute, Socinstrasse 57, CH-4002 Basel, Switzerland.",
"Papua New Guinea Institute of Medical Research, P.O. Box 378, Madang, Papua New Guinea Swiss Tropical Institute, Socinstrasse 57, Postfach CH-4002, Basel, Switzerland E-mail: smith@ubaclu.unibas.ch","Smith, T.","unibas","10.1016/S0035-9203(01)90314-1","https://doi.org/10.1016/S0035-9203(01)90314-1","http://doc.rero.ch/record/298820/files/95-1-1.pdf","Associations of peak shifts in age-prevalence for human malarias with bednet coverage","","Smith, T.;Hii, J.L.K.;Genton, B.;Müller, I.;Booth, M.;Gibson, N.;Narara, A.;Alpers, M.P.","2001","Transactions of The Royal Society of Tropical Medicine and Hygiene","Papua New Guinea Institute of Medical Research, P.O. Box 378, Madang, Papua New Guinea Swiss Tropical Institute, Socinstrasse 57, Postfach CH-4002, Basel, Switzerland E-mail: smith@ubaclu.unibas.ch;Papua New Guinea Institute of Medical Research, P.O. Box 378, Madang, Papua New Guinea School of Public Health and Tropical Medicine, James Cook University, Townsville, Queensland 4811, Australia;Papua New Guinea Institute of Medical Research, P.O. Box 378, Madang, Papua New Guinea Swiss Tropical Institute, Socinstrasse 57, Postfach CH-4002, Basel, Switzerland;Swiss Tropical Institute, Socinstrasse 57, Postfach CH-4002, Basel, Switzerland;Swiss Tropical Institute, Socinstrasse 57, Postfach CH-4002, Basel, Switzerland;Papua New Guinea Institute of Medical Research, P.O. Box 378, Madang, Papua New Guinea;Papua New Guinea Institute of Medical Research, P.O. Box 378, Madang, Papua New Guinea;Papua New Guinea Institute of Medical Research, P.O. Box 378, Madang, Papua New Guinea","Royal Society of Tropical Medicine and Hygiene","","95","1","1","6","0035-9203","1878-3503","","","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101016S0035920301903141","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016S0035920301903141&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016S0035920301903141&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016S0035920301903141&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Papua New Guinea Institute of Medical Research, P.O. Box 378, Madang, Papua New Guinea Swiss Tropical Institute, Socinstrasse 57, Postfach CH-4002, Basel, Switzerland E-mail: smith@ubaclu.unibas.ch",
"Laboratory of Immunoparasitology, Swiss Tropical Institute, Basel, Switzerland","Weiss, Niklaus","unibas","10.1016/0035-9203(86)90150-1","https://doi.org/10.1016/0035-9203(86)90150-1","http://doc.rero.ch/record/294868/files/80-4-587.pdf","Detection of serum antibodies and circulating antigens in a chimpanzee experimentally infected with Onchocerca volvulus","","Weiss, Niklaus;Van Den Ende, M.C.;Albiez, E.J.;Barbiero, V.K.;Forsyth, Karen;Prince, A.M.","1986","Transactions of The Royal Society of Tropical Medicine and Hygiene","Laboratory of Immunoparasitology, Swiss Tropical Institute, Basel, Switzerland;The Lindsley F. Kimball Research Institute of the New York Blood Center, New York, N.Y. 10021, USA Vilab II, The Liberian Institute for Biomedical Research, Robertsfield, Liberia;Bernhard-Nocht Institute for Nautical and Tropical Diseases, 2000 Hamburg 4, Federal German Republic;Division of Communicable Diseases, Agency for International Development, Washington, D.C. 20523, USA;Immunoparasitology Unit, The Walter and Eliza Hall Institute of Medical Research, Melbourne, Victoria 3050, Australia;The Lindsley F. Kimball Research Institute of the New York Blood Center, New York, N.Y. 10021, USA Vilab II, The Liberian Institute for Biomedical Research, Robertsfield, Liberia","Royal Society of Tropical Medicine and Hygiene","","80","4","587","591","0035-9203","1878-3503","","","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford1010160035920386901501","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford1010160035920386901501&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford1010160035920386901501&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford1010160035920386901501&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Laboratory of Immunoparasitology, Swiss Tropical Institute, Basel, Switzerland",
"Malaria Research Lead Programme, Medical Research Council, South Africa, P.O. Box 70380, Overport 4067, South Africa Department of Public Health and Epidemiology, Swiss Tropical Institute, Socinstrasse 57, P.O. Box CH-4002, Basel, Switzerland E-mail: mabasom@mrc.ac.za","Mabaso, Musawenkosi L.H.","unibas","10.1016/j.trstmh.2006.07.009","https://doi.org/10.1016/j.trstmh.2006.07.009","http://doc.rero.ch/record/304290/files/101-4-326.pdf","El Niño Southern Oscillation (ENSO) and annual malaria incidence in Southern Africa","","Mabaso, Musawenkosi L.H.;Kleinschmidt, Immo;Sharp, Brian;Smith, Thomas","2007","Transactions of The Royal Society of Tropical Medicine and Hygiene","Malaria Research Lead Programme, Medical Research Council, South Africa, P.O. Box 70380, Overport 4067, South Africa Department of Public Health and Epidemiology, Swiss Tropical Institute, Socinstrasse 57, P.O. Box CH-4002, Basel, Switzerland E-mail: mabasom@mrc.ac.za;Malaria Research Lead Programme, Medical Research Council, South Africa, P.O. Box 70380, Overport 4067, South Africa;Malaria Research Lead Programme, Medical Research Council, South Africa, P.O. Box 70380, Overport 4067, South Africa;Department of Public Health and Epidemiology, Swiss Tropical Institute, Socinstrasse 57, P.O. Box CH-4002, Basel, Switzerland","Royal Society of Tropical Medicine and Hygiene","","101","4","326","330","0035-9203","1878-3503","","","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101016jtrstmh200607009","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016jtrstmh200607009&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016jtrstmh200607009&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016jtrstmh200607009&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Malaria Research Lead Programme, Medical Research Council, South Africa, P.O. Box 70380, Overport 4067, South Africa Department of Public Health and Epidemiology, Swiss Tropical Institute, Socinstrasse 57, P.O. Box CH-4002, Basel, Switzerland E-mail: mabasom@mrc.ac.za",
"Swiss Tropical Institute, Socinstrasse 57, 4002 Basel, Switzerland E-mail: felger@ubaclu.unibas.ch","Felger, I.","unibas","10.1016/S0035-9203(99)90324-3","https://doi.org/10.1016/S0035-9203(99)90324-3","http://doc.rero.ch/record/290329/files/93-Supplement_1-29.pdf","6. Multiple Plasmodium falciparum infections in Tanzanian infants","","Felger, I.;Smith, T.;Edoh, D.;Kitua, A.;Alonso, P.;Tanner, M.;Beck, H.-P.","1999","Transactions of The Royal Society of Tropical Medicine and Hygiene","Swiss Tropical Institute, Socinstrasse 57, 4002 Basel, Switzerland E-mail: felger@ubaclu.unibas.ch;Swiss Tropical Institute, Socinstrasse 57, 4002 Basel, Switzerland;Hospital Clinic i Provincial, Barcelona, Spain;Hospital Clinic i Provincial, Barcelona, Spain;Ifakara Health Research and Development Centre, P.O. Box 53, Ifakara, Tanzania;Swiss Tropical Institute, Socinstrasse 57, 4002 Basel, Switzerland;Swiss Tropical Institute, Socinstrasse 57, 4002 Basel, Switzerland","Royal Society of Tropical Medicine and Hygiene","","93","Supplement_1","29","34","0035-9203","1878-3503","","","oxford","https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101016S0035920399903243","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016S0035920399903243&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016S0035920399903243&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016S0035920399903243&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query","It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher","Swiss Tropical Institute, Socinstrasse 57, 4002 Basel, Switzerland E-mail: felger@ubaclu.unibas.ch",
